lycaena	bacitracin	neutral
eton jacket	jacket	child
eyesore	ugliness	child
german short-haired pointer	pointer	child
lasiocampid	moth	child
panpipe	pipe	child
situation	nightmare	parent
hydnum	iridaceae	neutral
vorticella	staphylea	neutral
liliaceous plant	lily of the valley	parent
air pump	pump	child
linden	small-leaved linden	parent
ctenophore	invertebrate	child
mania	logorrhea	parent
believer	confucian	parent
rissa	armagnac	neutral
malapropism	licentiousness	neutral
contrariness	unruliness	child
savoy cabbage	tinea unguium	neutral
genius	prodigy	parent
kohl	makeup	child
indefinite quantity	supply	parent
limnobium	tetragram	neutral
raphicerus	mammal genus	child
limulus	vireonidae	neutral
vicinity	scenery	parent
administrative district	township	parent
blood disease	banti's disease	parent
listeria	eubacteria	child
wheatgrass	lemonwood	neutral
fungus genus	cantharellus	parent
pseudohallucination	areflexia	neutral
conoclinium	isoflurane	neutral
propositional logic	symbolic logic	child
grain	barley	parent
shingon	thymol	neutral
methodism	omniscience	neutral
pea soup	potato yellow-dwarf virus	neutral
broadside	fire	child
translation	written record	child
dressing room	room	child
security	peace	parent
arista	process	child
witch	pythoness	parent
reforestation	reclamation	child
angelfish	ceratonia	neutral
clomiphene	ornithischia	neutral
gyromitra californica	myricaceae	neutral
urnula craterium	hamamelis	neutral
uncommunicativeness	trait	child
collection	findings	parent
monocot genus	lemna	parent
cane	malacca	parent
parametritis	stizidae	neutral
gelignite	bedlamite	neutral
isogram	periwig	neutral
coronilla	rotgut	neutral
deer mushroom	hedgehog cactus	neutral
salt	manganate	parent
agamidae	reptile family	child
besom	broom	child
grab bar	snatch block	neutral
survival	continuance	child
bolshevism	depigmentation	neutral
birdcage mask	catcher's mask	child
holbrookia	ruptiliocarpon	neutral
exaeretodon	chrysaora quinquecirrha	neutral
mushroom pimple	onion mildew	neutral
symptom	hypernatremia	parent
conjugated protein	hemoprotein	parent
progress	motion	child
depressive disorder	agitated depression	parent
agaric	pholiota flammans	parent
skilled worker	cutter	parent
boisterousness	rurality	neutral
genetic code	triplet code	parent
imponderable	influence	child
leather fern	velvet grass	neutral
person	first-rater	parent
custard apple	bullock's heart	parent
fee splitting	payment	child
rudbeckia	grammatophyllum	neutral
thymol	montezuma cypress	neutral
short bone	bone	child
massage parlor	whorehouse	child
acid	tribasic acid	parent
climber	legume	parent
geococcyx	clitocybe inornata	neutral
chondroma	mimidae	neutral
support	influence	child
assets	receivables	parent
kwakiutl	allophone	neutral
anabolism	paternalism	neutral
mutton chop	beefsteak tomato	neutral
weed	threadleaf groundsel	parent
tulu	moth mullein	neutral
finger wave	wave	child
fungus genus	tulostoma	parent
tract	midway	parent
malvasia	prothalamion	neutral
microcyte	ferritin	neutral
morning glory	man-of-the-earth	parent
megavitamin therapy	therapy	child
venography	arthrography	child
extradition	surrender	child
meringue kiss	foxtail orchid	neutral
dagger	character	child
request	questioning	parent
line	rhumb line	parent
plumbago	ophiurida	neutral
plank	policy	child
sus	mammal genus	child
phoeniculus	googolplex	neutral
surinam cherry	carolina hemlock	neutral
sparling	smelt	child
aposelene	sanicula	neutral
muteness	dynamism	neutral
electrical discharge	nerve impulse	parent
elaeocarpus	italian cypress	neutral
barbital	hydnocarpus laurifolia	neutral
celery blight	corn chowder	neutral
huayna capac	leichtlin's camas	neutral
isoniazid	ephedrine	neutral
official	umpire	parent
moquelumnan	daucus	neutral
stretch	extension	child
barrier	obstacle	child
carbonnade flamande	holly fern	neutral
beating-reed instrument	woodwind	child
disorder	malocclusion	parent
sauce	apricot sauce	parent
tobacco pouch	pouch	child
peripatidae	arthropod family	child
unconventionality	valuelessness	neutral
chlorophyllum molybdites	ammonium carbamate	neutral
schizothymia	primaxin	neutral
percentage	unemployment rate	parent
double	base hit	child
crappie	dacoit	neutral
chickweed phlox	manicotti	neutral
diphenylbutyl piperidine	major tranquilizer	child
regression line	curve	child
person	adult	parent
sallet	stockjobber	neutral
succotash	satang	neutral
sunsuit	garment	child
zygoma	bone	child
neutralization fire	fire	child
alveolus	sac	child
abbot	abbe	parent
anisotremus	fish genus	child
foxtail	globeflower	neutral
amygdalotomy	chylomicron	neutral
stockcar	boxcar	child
shooting lodge	country house	child
riparia	viburnum	neutral
straightener	device	child
wheat berry	beefsteak fungus	neutral
potsherd	shard	child
trading	commerce	child
arctic willow	prairie chicken	neutral
wrymouth	henroost	neutral
mace	teth	neutral
distributor point	contact	child
atlantic tripletail	tripletail	child
parturition	laying	parent
white wine	vouvray	parent
distributor	ship chandler	parent
host	padrone	parent
surveying instrument	instrument	child
lagomorph	placental	child
refraction	double refraction	parent
autoinjector	hypodermic syringe	child
ideal	class act	parent
enabling legislation	legislation	child
squatness	unseasonableness	neutral
aristocrat	brahman	parent
imagism	inelasticity	neutral
relative	enate	parent
genus corozo	holocentridae	neutral
redpoll	mesoderm	neutral
uvulitis	urochordata	neutral
tube	structure	child
entomion	craniometric point	child
woody plant	milk vetch	parent
endometrium	mucous membrane	child
american	kentuckian	parent
onychosis	maxostoma	neutral
viomycin	antibiotic	child
goatfish	archaebacteria	neutral
fantasy life	fantasy	child
lovesickness	fearfulness	neutral
ground stroke	return	child
pipit	whitebait	neutral
chemise	dress	child
fluorocarbon	nitroglycerin	neutral
chaetodontidae	anagyris	neutral
agent	proxy	parent
hallucinogen	psychoactive drug	child
grotesqueness	wholeness	neutral
onion	welsh onion	parent
chickadee	ostrich	neutral
bankia	chenille	neutral
solitude	loathsomeness	neutral
ionizing radiation	cosmic ray	parent
international intelligence agency	mossad	parent
man	sir	parent
pteropsida	heloderma	neutral
military court	court-martial	parent
tecophilaeacea	glyburide	neutral
closeness	earliness	neutral
circular	stuffer	parent
speech disorder	lambdacism	parent
couscous	malvaceae	neutral
priest	bishop	parent
acicula	chlorophis	neutral
piperocaine	onychophora	neutral
aster	purple-stemmed aster	parent
cookie	raisin-nut cookie	parent
opening	breach	parent
abrasiveness	disagreeableness	child
slack	cord	child
hostility	latent hostility	parent
pinscher	watchdog	child
pick	device	child
company	stock company	parent
riding bitt	bollard	child
calliope	gallinago	neutral
nerve impulse	glossopharyngeal nerve	neutral
monetary unit	armenian monetary unit	parent
collection	crop	parent
natural process	hardening	parent
tridacna	shaggymane	neutral
adulteration	change	child
musk ox	opossum shrimp	neutral
hokan	yuma	parent
british capacity unit	gill	parent
maker	hatmaker	parent
painter	scenic artist	parent
larch	chyle	neutral
antedon	buchloe	neutral
hibiscus	cuban bast	parent
lattice	framework	child
uptick	transaction	child
sharkskin	fabric	child
spinel	spinel ruby	parent
swelling	tumidity	parent
seseli	parfait	neutral
physical condition	fertility	parent
son	mother's boy	parent
haemodoraceae	tuscarora	neutral
snorkeling	skin diving	child
open secret	secret	child
hydrocarbon	provitamin	parent
nonconformist	beatnik	parent
holly	geogia holly	parent
communication	voice	parent
puff	inhalation	child
juniper	mexican juniper	parent
layer	lower mantle	parent
morning glory	red morning-glory	parent
european spider crab	cabbage butterfly	neutral
record	accomplishment	child
mutton snapper	poodle	neutral
crabeater seal	seal	child
strawberry	birthmark	child
satori	enlightenment	child
shrub	mule fat	parent
contest	cliffhanger	parent
tazir crime	crime	child
sienna	gitana	neutral
reason	faculty	child
rissa	euglenophyta	neutral
inflammation	arteritis	parent
confession	declaration	child
woman	shiksa	parent
rhus dermatitis	poison ivy	parent
sauce	newburg sauce	parent
nasotracheal tube	showerhead	neutral
constant	gas constant	parent
ash	blue ash	parent
air hammer	hammer	child
algonquian	micmac	parent
gold foil	foil	child
alpaca	llama	child
derringer	pistol	child
serranus	angstrom	neutral
soul	embodiment	child
large integer	thirteen	parent
blind curve	bend	child
horn	tortoiseshell	parent
actor	man of action	parent
system	machinery	parent
herb	ginseng	parent
calque	saying	child
judge	praetor	parent
expense	medical expense	parent
attraction	affinity	parent
articulation	joining	child
sausage meat	tomato juice	neutral
supervisory routine	routine	child
poser	problem	child
hasty defense	defense	child
flat-coated retriever	retriever	child
eucalyptus	mallee	parent
wood aster	terbium metal	neutral
head gate	gate	child
greek deity	grace	parent
salpinx	prothorax	neutral
ascocarp	perithecium	parent
bohrium	impasto	neutral
lawrencium	sonchus	neutral
tempestuousness	eremitism	neutral
fasciolidae	factotum	neutral
asterid dicot genus	matricaria	parent
van	car	child
immovability	asynclitism	neutral
siberian husky	sled dog	child
physalis	cottus	neutral
monkey-wrench	adjustable wrench	child
crabgrass	egyptian grass	parent
tyrannidae	pipsissewa	neutral
malignant hypertension	pneumococcal pneumonia	neutral
ephippidae	albula	neutral
saturated fatty acid	capric acid	parent
brunswick stew	virginia oyster	neutral
pushball	field game	child
maintenance	wrongdoing	child
hijack	crime	child
photogravure	stylomecon	neutral
simple phobia	automysophobia	parent
uakari	capitonidae	neutral
meadowlark	tern	neutral
noise	sound	child
antheridiophore	petromyzon	neutral
dinner	banquet	parent
power	electrical power	parent
influence	perturbation	parent
galley	vessel	child
kiggelaria	comptonia	neutral
refinement	excellence	child
ophioglossum	melampsora	neutral
herb	cow parsnip	parent
orchid	rattlesnake plantain	parent
fuscoboletinus paluster	tasman dwarf pine	neutral
phasianus	nganasan	neutral
sofa	seat	child
acetic acid	acetum	parent
dog shit	persian cat	neutral
butterfingers	rhipsalis	neutral
creamery	workplace	child
proportion	golden section	parent
fruiting body	ascocarp	parent
clock face	face	child
alsophila	pennyworth	neutral
body of water	high sea	parent
hatchel	comb	child
religionism	intolerance	child
moss genus	bryum	parent
semifluidity	thickness	child
phyllostachys	nyctereutes	neutral
communication	discussion	parent
schistosoma	worm genus	child
seseli	komi	neutral
helwingia	ascophyllum	neutral
wave	sine curve	parent
ball-peen hammer	hammer	child
extrinsic fraud	fraud	child
cotinga	potamogetonaceae	neutral
arithmetic	pure mathematics	child
acheta	dubnium	neutral
plethysmograph	neuroblast	neutral
sogginess	aloneness	neutral
killarney fern	desert sand verbena	neutral
european	cypriot	parent
breaking off	break	child
percentage	absentee rate	parent
call forwarding	telephone	child
peer	townsman	parent
trend line	line	child
angiospermous tree	rewa-rewa	parent
picture	typification	child
drawstring	tie	child
monocot genus	dracunculus	parent
press	machine	child
wyomingite	gujarati	neutral
phoebe	saururus	neutral
birthright	inheritance	child
temperature change	cooling	parent
pearmain	strombus	neutral
sealskin	garment	child
mycotoxin	sodium fluoride	neutral
ceiling	altitude	child
fern genus	cystopteris	parent
melanogrammus	fish genus	child
herring	clupeid fish	child
large person	giant	parent
frog legs	columbia tiger lily	neutral
monosyllable	word	child
decade	1830s	parent
hygrophorus kauffmanii	aotus	neutral
pump	mechanical device	child
papulovesicle	dastard	neutral
linear unit	yarder	parent
lepadidae	misocainea	neutral
barring	ejection	child
sealed instrument	contract	child
geranium	cranesbill	parent
daintiness	elegance	child
celastraceae	deoxycytidine	neutral
tile	ridge tile	parent
style	kind	child
steam locomotive	locomotive	child
crayfish	decapod crustacean	child
fern genus	microsorium	parent
finiteness	multiculturalism	neutral
minnesota multiphasic personality inventory	self-report personality inventory	child
preservation	protection	child
toe	part	child
amaryllis	boutonniere	neutral
plataleidae	pholiota astragalina	neutral
genus argemone	genus lynx	neutral
answering machine	electronic device	child
sporocarp	streptopelia turtur	neutral
amorpha	leadplant	parent
subshrub	american spikenard	parent
movement	boy scouts	parent
abnormality	aneuploidy	parent
environment	medium	parent
anthracosis	lasthenia	neutral
turbogenerator	generator	child
great grandchild	great grandson	parent
substance	allergen	parent
intentionality	deliberation	child
ruminantia	gallirallus	neutral
downheartedness	hypersplenism	neutral
accounting	pooling of interest	parent
anthozoa	class	child
washbasin	basin	child
melia	fasciolopsis buski	neutral
icepick	pick	child
wit	message	child
amarelle	monocanthidae	neutral
noise	grate	parent
hemitripterus	thermoacidophile	neutral
downy wood mint	brick cheese	neutral
sweep	oar	child
trachodon	hadrosaur	child
tout ensemble	impression	child
graph	electrocardiogram	parent
libertarian	antifeminist	neutral
cactus	night-blooming cereus	parent
chiralgia	panicum	neutral
perjury	misdemeanor	child
nympholepsy	systematism	neutral
bartle frere	grisaille	neutral
thujopsis	crotaphytus	neutral
pregnancy	gravidity	parent
ischium	bone	child
phyllocladaceae	chickenshit	neutral
workman	gas fitter	parent
vegetable	pumpkin	parent
addition	accretion	parent
walking shoe	shoe	child
mariticide	murder	child
alloy steel	tool steel	parent
cyamopsis	lactosuria	neutral
kalumpang	chrysolophus	neutral
linguistic process	higher cognitive process	child
paca	rodent	child
geoglossum	diospyros	neutral
ill health	pathology	parent
craniometer	measuring instrument	child
defect	myelatelia	parent
boundary	limit	parent
lip fern	wooly lip fern	parent
entreaty	demagoguery	parent
douroucouli	schizopoda	neutral
economic and social council commission	economic commission for africa	parent
autofluorescence	gametangium	neutral
physical condition	dilatation	parent
eminence	king	parent
neurosis	bonyness	neutral
variety meat	stomach sweetbread	parent
rosid dicot genus	jacksonia	parent
falsity	intangibility	neutral
plumbing fixture	fixture	child
coin	sixpence	parent
peddler	muffin man	parent
exporting	commerce	child
condiment	salsa	parent
sensuousness	sliminess	neutral
abstractedness	preoccupation	child
play	curtain raiser	parent
monocot genus	coryanthes	parent
badminton racket	racket	child
muchness	magnitude	child
paraph	flourish	child
european	irish person	parent
direction	system command	parent
specialist	dermatologist	parent
helvella acetabulum	espadrille	neutral
espagnole	bennettitaceae	neutral
election	choice	child
outlier	deviation	child
scanning	reproduction	child
dilleniid dicot genus	genus sisymbrium	parent
eschrichtiidae	begoniaceae	neutral
rydberg's penstemon	calvaria	neutral
dissenting opinion	opinion	child
chemical element	ununhexium	parent
outline	coastline	parent
cornu	structure	child
muscicapidae	lepidothamnus	neutral
brachychiton	liopelma hamiltoni	neutral
dislike	alienation	parent
child	waif	parent
ceratodontidae	genus lecanopteris	neutral
hydroponics	farming	child
hand cream	cream	child
midas touch	ability	child
ojibwa	heterosomata	neutral
windsor knot	slipknot	child
conditional reflex	learned reaction	child
labor	organized labor	parent
stick	punishment	child
stony coral	coral	child
sans serif	font	child
oppressor	authoritarian	parent
altocumulus	pyracantha	neutral
spot	section	child
condensing	compression	child
computer-aided design	software	child
cabin	compartment	child
gross	box office	parent
grubby	sculpin	child
songhai	assegai	neutral
long time	year dot	parent
cause	justification	child
limelight	lamp	child
vespid	wasp	child
board	appeal board	parent
old world least weasel	weasel	child
reveille	bugle call	child
screech owl	owl	child
malacothamnus	triga	neutral
bamboo	common bamboo	parent
civic pride	pride	child
electrocution	killing	child
worker	temp	parent
faintness	weakness	child
bellicosity	aggressiveness	child
mesasamkranti	gymnosophist	neutral
day	off-day	parent
thylacinus	cytomegalovirus	neutral
breechblock	blockage	child
emotional state	ecstasy	parent
carnassial tooth	brittle bladder fern	neutral
phaneromania	estrus	neutral
heterometabolism	keratomycosis	neutral
supporter	new dealer	parent
mutant	freak	parent
cardinal number	frequency	parent
urocyon	sciaenidae	neutral
collection	repertory	parent
myliobatidae	terebellidae	neutral
jewish calendar month	veadar	parent
verbenaceae	camelidae	neutral
flathead catfish	catfish	child
impossibility	unattainableness	parent
distinguished flying cross	decoration	child
easement	prerogative	child
school	graduate school	parent
superinfection	minamata disease	neutral
committee member	committeeman	parent
misopedia	zanzibar copal	neutral
cry	bellow	parent
loestrin	pill	child
phrygian	thraco-phrygian	child
shrub	japan allspice	parent
fibrous tissue	vascular tissue	neutral
aureolaria	propanol	neutral
phlebectomy	abdominoplasty	neutral
narrowing	change of shape	child
abnormality	brachydactyly	parent
stinkhorn	dog stinkhorn	parent
edible fruit	guava	parent
genetic map	arrangement	child
nebule	ringdove	neutral
annoyance	aggravation	parent
microflora	bacteremia	neutral
trust	oil cartel	parent
zinc cadmium sulfide	sodium nitrate	neutral
seven wonders of the ancient world	memorial	child
killer	garroter	parent
rainy season	monsoon	parent
sketch	summary	child
talentlessness	dizziness	neutral
celesta	tardigrade	neutral
dilleniid dicot genus	ledum	parent
malacopterygii	tributyrin	neutral
womanizer	don juan	parent
rodentia	satyriasis	neutral
sottishness	spontaneity	neutral
mural	painting	child
haematoxylum	oculomotor	neutral
herpestes	mammal genus	child
feeblemindedness	hypnophobia	neutral
naked option	option	child
compulsion	causing	child
oceanites	bird genus	child
military attache	naval attache	parent
ritual	practice	child
viewgraph	foil	child
job	duty	child
flight control	control	child
beatification	action	child
listeria	measles	neutral
pternohyla	amphibian genus	child
curcuma	pallidum	neutral
bartlett	peroneus	neutral
beverage	refresher	parent
division	deuteromycota	parent
purslane	mouse-ear hawkweed	neutral
play	satyr play	parent
infection	scabies	parent
cloud	aerosol	parent
traveler	motorcyclist	parent
saltwater fish	sardine	parent
apocrypha	sacred text	child
kolam	titi	neutral
thrombasthenia	gymnadenia	neutral
basil	seaweed	neutral
pterocles	pseudopleuronectes	neutral
suksdorfia	kafir	neutral
petaurista	boehmeria	neutral
repetitiveness	innateness	neutral
mediator	mediatrix	parent
powder keg	keg	child
pneumoconiosis	hydnocarpus laurifolia	neutral
sausage curl	lock	child
gnathion	craniometric point	child
atomic mass	mass	child
job	work	child
bon mot	wit	child
tylenchidae	worm family	child
wrestler	bantamweight	parent
school	sunday school	parent
european house cricket	cricket	child
lysis	osteolysis	parent
gluteus minimus	gluteus	child
quira	hostaceae	neutral
zoolatry	worship	child
kylix	dennstaedtiaceae	neutral
cusk-eel	soapwort gentian	neutral
dalmatian laburnum	patchouli	neutral
implant	prosthesis	child
stamina	endurance	child
richness	fruitfulness	child
acroclinium	rhenium	neutral
easy chair	armchair	child
plumb bob	bob	child
silkworm	caterpillar	child
green mushroom pimple	mosquito fern	neutral
negative magnetic pole	pole	child
hydrophobicity	property	child
enterostomy	operation	child
luvarus	fish genus	child
glyceryl	dichromat	neutral
breach of promise	breach of contract	child
sketch map	map	child
cell division	cleavage	parent
amazona	epacridaceae	neutral
military quarters	living quarters	child
myriagram	broadbill	neutral
mythical being	golem	parent
pompon	penicillinase	neutral
root	square root	parent
yellow journalism	journalism	child
corn borer	pyralid	child
mat	sports equipment	child
fatty acid	trans fatty acid	parent
orchid	rein orchid	parent
swivel chair	chair	child
horsetail	barrelfish	neutral
united states liquid unit	gill	parent
fucoid	brown algae	child
motor scooter	wheeled vehicle	child
prothalamion	kyphosis	neutral
law of multiple proportions	law	child
ritonavir	snapdragon	neutral
detergent	cleansing agent	child
sensing	sensory activity	child
monotreme	prototherian	child
chocolate ice cream	choc-ice	parent
purification	ceremony	child
law enforcement agency	federal bureau of prisons	parent
chromatism	ferromagnetism	neutral
dish	tostada	parent
transducer	electrical device	child
vegetable oil	salad oil	parent
sponginess	porosity	child
smiler	smirker	parent
jubilee	silver jubilee	parent
ranitidine	antacid	child
japanese lilac	chilean cedar	neutral
form	appearance	child
mastership	position	child
cult	religion	child
flower	bartonia	parent
fimbria	viburnum	neutral
tastelessness	gravidity	neutral
epicondylitis	echinodermata	neutral
ballet skirt	skirt	child
had crime	crime	child
yellow-throated marten	marten	child
opposition	inverse	parent
aldehyde	paraldehyde	parent
tongueless frog	tamarisk gerbil	neutral
salpinx	wei	neutral
hymn	hymeneal	parent
chrysolepis	pomatomidae	neutral
actor's line	monologue	parent
sulindac	opsin	neutral
cereal	ricegrass	parent
phase of cell division	prophase	parent
politician	republican	parent
point	advantage	parent
boatman	gondolier	parent
radical	extremist	parent
gregorian calendar month	july	parent
southwestern toad	american toad	neutral
swiss cheese	emmenthal	parent
metallic element	gallium	parent
sting	bee sting	parent
freshwater fish	freshwater bass	parent
inertness	megalomania	neutral
pyrus	dyewood	neutral
magnoliid dicot genus	podophyllum	parent
tenor	pitch	child
ethiopian	eritrean	parent
arthropoda	nidulariaceae	neutral
professional	semiprofessional	parent
dicot genus	centaurium	parent
location	earth	parent
aircrewman	navigator	parent
alpha-beta brass	naval brass	parent
anodonta	erolia	neutral
asian	israeli	parent
person	enrollee	parent
unexchangeability	ancientness	neutral
diet	liquid diet	parent
pomacentridae	casuarina	neutral
hyperoodon	mammal genus	child
foundry	factory	child
frenchman	parisian	parent
social group	jewry	parent
mediterranean flour moth	mutton chop	neutral
area unit	square yard	parent
pallet	platform	child
comfortableness	perfectionism	neutral
plane tree	oriental plane	parent
rhinencephalon	helminthiasis	neutral
wild apple	oregon crab apple	parent
colaptes	bird genus	child
armilla	bracelet	child
angwantibo	lemur	child
sunnah	meropidae	neutral
centropus	laryngospasm	neutral
timaliidae	bird family	child
merchant	baker	parent
genus trachodon	reptile genus	child
phylloporus	lygodium	neutral
buck	placental	child
antiaircraft	gun	child
partiality	inclination	child
tenthredinidae	carnauba	neutral
kinanesthesia	pruritus ani	neutral
hymenanthera	geometridae	neutral
lophodytes	bird genus	child
line	balkline	parent
party	reversioner	parent
streptopelia turtur	whitebait	neutral
erignathus	insecta	neutral
bacon and eggs	oxtail soup	neutral
reed	giant reed	parent
camellia	japonica	parent
piassava palm	cajan pea	neutral
pen-and-ink	drawing	child
honey locust	flour beetle	neutral
bola	balagan	neutral
binary numeration system	positional notation	child
contamination	dust contamination	parent
cirsium	cerambycidae	neutral
member	conservative	parent
coreidae	ulatrophia	neutral
culotte	parazoa	neutral
tin	vessel	child
endamoebidae	family	child
musician	arranger	parent
hokan	diegueno	parent
brass	bearing brass	parent
pain	suffering	parent
winnebago	lecythidaceae	neutral
united nations agency	international labor organization	parent
sulfacetamide	ergotropism	neutral
sloth	reluctance	child
chlamydera	bird genus	child
data input device	peripheral	child
piece of cloth	fabric	child
nemean games	agon	child
allopathy	medical care	child
andean condor	goliath frog	neutral
measure	relative quantity	parent
talk	dialogue	parent
chocolate candy	jimmies	parent
chlorpheniramine maleate	acetaldehyde	neutral
plant disease	rust	parent
septobasidiaceae	catasetum	neutral
matchweed	rabbitweed	parent
sudanese monetary unit	sudanese pound	parent
oil palm	american oil palm	parent
hygrophorus inocybiformis	proterochampsa	neutral
polymorph	organism	child
tossed salad	combination salad	parent
output	picking	parent
leitneriaceae	thrush nightingale	neutral
drosophila	primaxin	neutral
caryophylloid dicot genus	acanthocereus	parent
chorion	sac	child
white willow	damson plum	neutral
unit of measurement	electromagnetic unit	parent
convoy	escort	child
external-combustion engine	heat engine	child
anorthopia	guyanese	neutral
fantan	card game	child
castilleja	amelanchier	neutral
home invasion	housebreaking	child
right	turn	child
fur	seal	parent
fatality	killing	parent
ghat	cyan	neutral
aftertaste	afterimage	child
transplant	movement	child
music	serialism	parent
dramaturgy	discography	neutral
malacostracan crustacean	crustacean	child
apse	recess	child
formation	secondary	parent
disorder	failure	parent
dilleniaceae	pogonia	neutral
allionia	hemagglutination	neutral
potato	baked potato	parent
catalan	siouan	neutral
legume	cowpea	parent
electrosurgery	endoscope	neutral
helwingia	coccidae	neutral
alder	seaside alder	parent
fern genus	onoclea	parent
ballroom	room	child
agua	true toad	child
agkistrodon	haloform	neutral
greek	athenian	parent
power drill	drill	child
moth orchid	jerboa rat	neutral
momentum	physical property	child
shift key	key	child
projection	tongue	parent
unhealthfulness	unwholesomeness	child
helipterum	bathyergus	neutral
burgundy	beaujolais	parent
continuum	history	parent
sling	brandy sling	parent
material	discharge	parent
talk	shmooze	parent
boxer	middleweight	parent
boot	instrument of torture	child
poleax	ax	child
hilliness	ruggedness	child
penetralia	moloch	neutral
area	safety	parent
stubbornness	resoluteness	child
pining	lovesickness	parent
audit	examination	child
cavia	mammal genus	child
christian	copt	parent
calvinism	protestantism	child
vancomycin	antibiotic	child
cypress spurge	leopard lily	neutral
tree	african walnut	parent
liberty	discretion	parent
dyschezia	dictostylium	neutral
betulaceae	succinylcholine	neutral
tambourine	drum	child
granville wilt	hippodamia convergens	neutral
taxonomic group	suborder	parent
aquatic fern	floating-moss	parent
negative	double negative	parent
etymology	history	child
scabious	silverweed	neutral
nganasan	samoyedic	child
angle	angle of reflection	parent
lumbago	pleurosorus	neutral
yenta	granadilla	neutral
coleonyx	laparocele	neutral
testudinidae	myrmecophagidae	neutral
scoliosis	psychomotor epilepsy	neutral
unholiness	quality	child
grassland	prairie	parent
bonito shark	mako	child
